Entrez	Accession	Species	Gene Name
14687	O70443	Mus musculus	"guanine nucleotide binding protein, alpha z subunit"
14687	O70442	Mus musculus	"guanine nucleotide binding protein, alpha z subunit"
14687	Q542R8	Mus musculus	"guanine nucleotide binding protein, alpha z subunit"
14687	Q91WM4	Mus musculus	"guanine nucleotide binding protein, alpha z subunit"
14687	Q3UYF9	Mus musculus	"guanine nucleotide binding protein, alpha z subunit"
14687	Q61637	Mus musculus	"guanine nucleotide binding protein, alpha z subunit"
14688	P04697	Mus musculus	"guanine nucleotide binding protein (G protein), beta 1"
14688	Q3U1B1	Mus musculus	"guanine nucleotide binding protein (G protein), beta 1"
14688	P62874	Mus musculus	"guanine nucleotide binding protein (G protein), beta 1"
14688	P04901	Mus musculus	"guanine nucleotide binding protein (G protein), beta 1"
14688	Q3TQ70	Mus musculus	"guanine nucleotide binding protein (G protein), beta 1"
14688	Q61621	Mus musculus	"guanine nucleotide binding protein (G protein), beta 1"
80743	Q99KZ4	Mus musculus	vacuolar protein sorting 16 (yeast)
80743	Q8BWV2	Mus musculus	vacuolar protein sorting 16 (yeast)
80743	A2BI90	Mus musculus	vacuolar protein sorting 16 (yeast)
80743	Q8R3C3	Mus musculus	vacuolar protein sorting 16 (yeast)
80743	A2BI91	Mus musculus	vacuolar protein sorting 16 (yeast)
80743	Q920Q4	Mus musculus	vacuolar protein sorting 16 (yeast)
80743	Q8C016	Mus musculus	vacuolar protein sorting 16 (yeast)
109731	Q8C0B2	Mus musculus	monoamine oxidase B
109731	Q8BW75	Mus musculus	monoamine oxidase B
109731	Q14CG9	Mus musculus	monoamine oxidase B
277414	Q4QQM4	Mus musculus	transformation related protein 53 inducible protein 11
277414	A2AGS6	Mus musculus	transformation related protein 53 inducible protein 11
277414	Q3UQL4	Mus musculus	transformation related protein 53 inducible protein 11
20430	Q8CE85	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	Q7TMB8	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	Q99LY1	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	Q5DU50	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	O88558	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	Q8C8R2	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	Q7TSZ5	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	Q3U7Q7	Mus musculus	cytoplasmic FMR1 interacting protein 1
20430	Q80VN6	Mus musculus	cytoplasmic FMR1 interacting protein 1
140559	Q8R366	Mus musculus	"immunoglobulin superfamily, member 8"
140559	Q8R0L7	Mus musculus	"immunoglobulin superfamily, member 8"
20907	Q5D0A4	Mus musculus	syntaxin 1A (brain)
20907	Q497P1	Mus musculus	syntaxin 1A (brain)
20907	O35526	Mus musculus	syntaxin 1A (brain)
74053	Q925T7	Mus musculus	glutamate receptor interacting protein 1
74053	Q925T5	Mus musculus	glutamate receptor interacting protein 1
